trajectory_id,collision,collision_frame,triggered,trigger_frame,ttc_at_trigger,pjoint,missed_collision,high_injury_collision,low_injury_collision,q_wait_at_trigger,q_trigger_at_trigger,speed_at_trigger,speed_at_collision
183,True,140.0,False,,,0.8934045300040976,True,True,False,,,,44.60990003063079
184,False,,False,,,,False,False,False,,,,
185,False,,False,,,,False,False,False,,,,
186,False,,False,,,,False,False,False,,,,
187,True,197.0,False,,,0.1632878520455343,True,False,True,,,,4.440050901330117
188,True,219.0,False,,,0.1302847655024748,True,False,True,,,,12.617619279707888
189,False,,False,,,,False,False,False,,,,
190,False,,False,,,,False,False,False,,,,
191,False,,False,,,,False,False,False,,,,
192,True,197.0,False,,,0.12733789498325498,True,False,True,,,,13.66539198071899
193,True,107.0,False,,,0.999999434027708,True,True,False,,,,60.97591956111706
194,False,,False,,,,False,False,False,,,,
195,False,,False,,,,False,False,False,,,,
196,True,95.0,False,,,0.9999652931727483,True,True,False,,,,55.56580872558428
197,False,,False,,,,False,False,False,,,,
198,True,60.0,False,,,0.11956959892069918,True,False,True,,,,17.555370231068242
199,True,212.0,False,,,0.9870507794522544,True,True,False,,,,47.6060835459766
200,True,242.0,False,,,0.18737190726570474,True,False,True,,,,0.08280454806256861
201,False,,False,,,,False,False,False,,,,
202,False,,False,,,,False,False,False,,,,
203,False,,False,,,,False,False,False,,,,
204,True,124.0,False,,,0.15183105975235633,True,False,True,,,,25.09423608008346
205,False,,False,,,,False,False,False,,,,
206,False,,False,,,,False,False,False,,,,
207,False,,False,,,,False,False,False,,,,
208,True,79.0,False,,,0.11874491323282976,True,False,True,,,,20.38485563449319
209,True,197.0,False,,,0.5737649536954862,True,True,False,,,,40.01547824373702
210,False,,False,,,,False,False,False,,,,
211,True,115.0,False,,,0.11917325228987852,True,False,True,,,,17.897195548366895
212,False,,False,,,,False,False,False,,,,
213,False,,False,,,,False,False,False,,,,
214,True,229.0,False,,,0.988269978335962,True,True,False,,,,47.723092305603984
215,False,,False,,,,False,False,False,,,,
216,False,,False,,,,False,False,False,,,,
217,True,59.0,False,,,0.11829680380183683,True,False,True,,,,19.04900460845222
218,False,,False,,,,False,False,False,,,,
219,True,96.0,False,,,0.9984239260969711,True,True,False,,,,50.27816435987783
220,False,,False,,,,False,False,False,,,,
221,True,179.0,False,,,0.13035536261557346,True,False,True,,,,12.593842881159821
222,False,,False,,,,False,False,False,,,,
223,True,67.0,False,,,0.1249920146524307,True,False,True,,,,14.599581429062901
224,False,,False,,,,False,False,False,,,,
225,False,,False,,,,False,False,False,,,,
226,False,,False,,,,False,False,False,,,,
227,True,128.0,False,,,0.12670649210721086,True,False,True,,,,13.906442730185143
228,True,134.0,False,,,0.9794931879891923,True,True,False,,,,47.049398766517655
229,False,,False,,,,False,False,False,,,,
230,False,,False,,,,False,False,False,,,,
231,True,89.0,False,,,0.13092523107287768,True,False,True,,,,22.99741774250992
232,False,,False,,,,False,False,False,,,,
233,False,,False,,,,False,False,False,,,,
234,True,136.0,False,,,0.9978918166496364,True,True,False,,,,49.87545036058991
235,True,74.0,False,,,0.9999997815157278,True,True,False,,,,62.351908317452455
236,False,,False,,,,False,False,False,,,,
237,False,,False,,,,False,False,False,,,,
238,False,,False,,,,False,False,False,,,,
239,True,184.0,False,,,0.13113935318420067,True,False,True,,,,12.33336719365286
240,True,70.0,False,,,0.12081223111693362,True,False,True,,,,16.68742789107129
241,False,,False,,,,False,False,False,,,,
242,True,64.0,False,,,0.12221949010607713,True,False,True,,,,21.37147300233314
243,True,182.0,False,,,0.9999997730661613,True,True,False,,,,62.29221232618858
244,True,102.0,False,,,0.9877897260113805,True,True,False,,,,47.675680359804204
245,True,139.0,False,,,0.9994463803388206,True,True,False,,,,51.76659758185432
246,True,89.0,False,,,0.3910626056123522,True,True,False,,,,35.908596943924486
247,True,99.0,False,,,0.9935484691994176,True,True,False,,,,48.439511425491105
248,False,,False,,,,False,False,False,,,,
249,False,,False,,,,False,False,False,,,,
250,False,,False,,,,False,False,False,,,,
251,True,113.0,False,,,0.15126854490117336,True,False,True,,,,24.959556057592703
252,False,,False,,,,False,False,False,,,,
253,False,,False,,,,False,False,False,,,,
254,False,,False,,,,False,False,False,,,,
255,True,131.0,False,,,0.9998228352518665,True,True,False,,,,53.40155912889139
256,True,61.0,False,,,0.12228124020647368,True,False,True,,,,15.85987550832645
257,False,,False,,,,False,False,False,,,,
258,False,,False,,,,False,False,False,,,,
259,True,135.0,False,,,0.9999987301399591,True,True,False,,,,59.954227571364775
260,False,,False,,,,False,False,False,,,,
261,True,71.0,False,,,0.13211164492841598,True,False,True,,,,12.018839048081702
262,False,,False,,,,False,False,False,,,,
263,False,,False,,,,False,False,False,,,,
264,True,90.0,False,,,0.30200819523548095,True,True,False,,,,31.973557006900993
265,True,89.0,False,,,0.5483112019537386,True,True,False,,,,39.658249885855334
266,False,,False,,,,False,False,False,,,,
267,True,219.0,False,,,0.13309809374135484,True,False,True,,,,11.708498656839343
268,False,,False,,,,False,False,False,,,,
269,True,98.0,False,,,0.27974601896469065,True,True,False,,,,30.656087485617576
270,True,119.0,False,,,0.9219469865523695,True,True,False,,,,45.18377607703982
271,False,,False,,,,False,False,False,,,,
272,True,90.0,False,,,0.9999746334452577,True,True,False,,,,56.01658477478289
273,False,,False,,,,False,False,False,,,,
274,True,139.0,False,,,0.9746895370980295,True,True,False,,,,46.784528476620636
275,False,,False,,,,False,False,False,,,,
276,False,,False,,,,False,False,False,,,,
277,False,,False,,,,False,False,False,,,,
278,False,,False,,,,False,False,False,,,,
279,False,,False,,,,False,False,False,,,,
280,False,,False,,,,False,False,False,,,,
281,False,,False,,,,False,False,False,,,,
282,False,,False,,,,False,False,False,,,,
283,False,,False,,,,False,False,False,,,,
284,False,,False,,,,False,False,False,,,,
285,False,,False,,,,False,False,False,,,,
286,False,,False,,,,False,False,False,,,,
287,True,243.0,False,,,0.1331078823364209,True,False,True,,,,11.705460617106251
288,False,,False,,,,False,False,False,,,,
289,True,196.0,False,,,0.12932681619381714,True,False,True,,,,12.945865898181198
290,False,,False,,,,False,False,False,,,,
291,True,72.0,False,,,0.1308910240296438,True,False,True,,,,12.415180959698827
292,False,,False,,,,False,False,False,,,,
293,False,,False,,,,False,False,False,,,,
294,False,,False,,,,False,False,False,,,,
295,False,,False,,,,False,False,False,,,,
296,True,105.0,False,,,0.9999694050037328,True,True,False,,,,55.74527173025224
297,True,74.0,False,,,0.12807165130502585,True,False,True,,,,13.393370378663215
298,True,176.0,False,,,0.12128544570212563,True,False,True,,,,16.40416629830446
299,True,187.0,False,,,0.12197246750259416,True,False,True,,,,16.022308542562346
300,False,,False,,,,False,False,False,,,,
301,True,89.0,False,,,0.88088582974622,True,True,False,,,,44.380946743543355
302,False,,False,,,,False,False,False,,,,
303,True,111.0,False,,,0.6550586640062919,True,True,False,,,,41.06623199011285
304,False,,False,,,,False,False,False,,,,
305,False,,False,,,,False,False,False,,,,
306,True,105.0,False,,,0.1610625091393192,True,False,True,,,,26.111905643668795
307,False,,False,,,,False,False,False,,,,
308,False,,False,,,,False,False,False,,,,
309,False,,False,,,,False,False,False,,,,
310,False,,False,,,,False,False,False,,,,
311,True,123.0,False,,,0.11833710801472241,True,False,True,,,,20.068218827269913
312,False,,False,,,,False,False,False,,,,
313,False,,False,,,,False,False,False,,,,
314,True,127.0,False,,,0.9999490056241463,True,True,False,,,,55.037434741478044
315,True,177.0,False,,,0.23851824475567096,True,True,False,,,,29.198296197553862
316,True,197.0,False,,,0.9601340092422326,True,True,False,,,,46.193258880553
317,False,,False,,,,False,False,False,,,,
318,True,216.0,False,,,0.9333398577343497,True,True,False,,,,45.444605585005036
319,False,,False,,,,False,False,False,,,,
