frame,ped_height,sim_time,walker,ego,e_veloc,distance,walker_vel_ms,ego_vel_ms,ttc_less_than_200,walker_vel_mms,ego_vel_mms,TCC,TCC_threshold,w_location_x,w_location_y,w_location_z,e_location_x,e_location_y,e_location_z,w_rotation_pitch,w_rotation_yaw,w_rotation_roll,e_rotation_pitch,e_rotation_yaw,e_rotation_roll
0,1.8600000143051147,1,walker.pedestrian.0004,vehicle.nissan.patrol_2021,51.281069,44.56249237060547,0.0,14.244741315090806,False,0.0,0.014244741315090806,3130.0,500,100.86032104492188,13.049999237060547,1.1038998365402222,56.36631393432617,7.799999713897705,0.0974973663687706,0.019349925220012665,-89.99999237060547,-8.337633916610798e-10,-0.007267320994287729,3.2079874780904793e-12,1.7940553220796573e-07
1,1.8600000143051147,2,walker.pedestrian.0004,vehicle.nissan.patrol_2021,51.28106,44.33462142944336,0.1126861423254013,14.244738940234786,False,0.0001126861423254013,0.014244738940234786,3090.0,500,100.86032104492188,13.048196792602539,1.1038998365402222,56.59420394897461,7.799999713897705,0.09687469154596329,0.019349925220012665,-89.99999237060547,-8.337633916610798e-10,-0.007048754952847958,0.0,7.588662356283749e-07
2,1.8600000143051147,3,walker.pedestrian.0004,vehicle.nissan.patrol_2021,51.281051,44.10672378540039,0.2253722846508026,14.244736448164227,False,0.0002253722846508026,0.014244736448164227,3050.0,500,100.86032104492188,13.044590950012207,1.1038998365402222,56.82209777832031,7.799999713897705,0.09625621885061264,0.019349925220012665,-89.99999237060547,-8.337633916610798e-10,-0.006714075803756714,0.0,1.7160120933112921e-06
3,1.8600000143051147,4,walker.pedestrian.0004,vehicle.nissan.patrol_2021,51.281042,43.8787956237793,0.3380584120750427,14.244733843976114,False,0.00033805841207504273,0.014244733843976114,3010.0,500,100.86032104492188,13.03918170928955,1.1038998365402222,57.04999542236328,7.799999713897705,0.09564227610826492,0.019349925220012665,-89.99999237060547,-8.337633916610798e-10,-0.006379396189004183,0.0,2.9162588361941744e-06
4,1.8600000143051147,5,walker.pedestrian.0004,vehicle.nissan.patrol_2021,51.281033,43.65084457397461,0.4507445693016052,14.244731297694305,False,0.0004507445693016052,0.014244731297694305,2970.0,500,100.86032104492188,13.031970024108887,1.1038998365402222,57.277889251708984,7.799999713897705,0.09503334015607834,0.019349925220012665,-89.99999237060547,-8.337633916610798e-10,-0.005955924745649099,0.0,4.251942300470546e-06
5,1.8600000143051147,6,walker.pedestrian.0004,vehicle.nissan.patrol_2021,51.281023,43.42287063598633,0.5634307265281677,14.244728681052084,False,0.0005634307265281678,0.014244728681052084,2930.0,500,100.86032104492188,13.022954940795898,1.1038998365402222,57.50577926635742,7.799999713897705,0.09442947059869766,0.019349925220012665,-89.99999237060547,-8.337633916610798e-10,-0.005525622516870499,0.0,5.685822998202639e-06
6,1.8600000143051147,7,walker.pedestrian.0004,vehicle.nissan.patrol_2021,51.281014,43.19486999511719,0.6761168241500854,14.244726107536387,False,0.0006761168241500855,0.014244726107536387,2890.0,500,100.86032104492188,13.012137413024902,1.1038998365402222,57.73367691040039,7.799999713897705,0.09383079409599304,0.019349925220012665,-89.99999237060547,-8.337633916610798e-10,-0.005067999940365553,0.0,7.117622317309724e-06
7,1.8600000143051147,8,walker.pedestrian.0004,vehicle.nissan.patrol_2021,51.281005,42.966835021972656,0.788802981376648,14.244723542483412,False,0.0007888029813766479,0.014244723542483411,2860.0,500,100.86032104492188,12.999516487121582,1.1038998365402222,57.961570739746094,7.799999713897705,0.09323764592409134,0.019349925220012665,-89.99999237060547,-8.337633916610798e-10,-0.004610377363860607,0.0,8.719885045138653e-06
8,1.8600000143051147,9,walker.pedestrian.0004,vehicle.nissan.patrol_2021,51.280996,42.738773345947266,0.9014891386032104,14.244721018703293,False,0.0009014891386032104,0.014244721018703293,2820.0,500,100.86032104492188,12.985092163085938,1.1038998365402222,58.1894645690918,7.799999713897705,0.09264998883008957,0.019349925220012665,-89.99999237060547,-8.337633916610798e-10,-0.004118603654205799,0.0,1.0327680683985818e-05
9,1.8600000143051147,10,walker.pedestrian.0004,vehicle.nissan.patrol_2021,51.280987,42.51068878173828,1.014175295829773,14.244718494546312,False,0.001014175295829773,0.014244718494546312,2790.0,500,100.86032104492188,12.968865394592285,1.1038998365402222,58.417362213134766,7.799999713897705,0.09206768125295639,0.019349925220012665,-89.99999237060547,-8.337633916610798e-10,-0.0036609810777008533,1.5424123783747135e-11,1.1922656995011494e-05
