collision,total_steps,request_simulat_time,fixed_delta_seconds,current_simulat_time,stop_run,e_veloc,TTC,ttc_less_than_200,TTC_threshold,pedestrian_velocity,SAW_WALKER_cam1,SAW_WALKER_cam4,delay_count,delay_threshold,GLOBAL_BRAKE,apply_brake,new_velocity,frame_number
NA,375,6,0.016,1,false,49.886233,4450.0,False,500,2.94,1,0,0,0,0,0,N/A,0
NA,375,6,0.016,2,false,49.682879,4430.0,False,500,2.94,1,0,0,0,0,0,N/A,1
NA,375,6,0.016,3,false,49.645983,4390.0,False,500,2.94,1,0,0,0,0,0,N/A,2
NA,375,6,0.016,4,false,49.63485,4350.0,False,500,2.94,1,0,0,0,0,0,N/A,3
NA,375,6,0.016,5,false,49.640389,4320.0,False,500,2.94,1,0,0,0,0,0,N/A,4
NA,375,6,0.016,6,false,49.640112,4280.0,False,500,2.94,1,0,0,0,0,0,N/A,5
NA,375,6,0.016,7,false,49.639942,4240.0,False,500,2.94,1,0,0,0,0,0,N/A,6
NA,375,6,0.016,8,false,49.640152,4210.0,False,500,2.94,1,0,0,0,0,0,N/A,7
NA,375,6,0.016,9,false,49.640264,4170.0,False,500,2.94,1,0,0,0,0,0,N/A,8
NA,375,6,0.016,10,false,49.640363,4140.0,False,500,2.94,1,0,0,0,0,0,N/A,9
NA,375,6,0.016,11,false,49.657939,4100.0,False,500,2.94,1,0,0,0,0,0,N/A,10
NA,375,6,0.016,12,false,49.704493,4059.9999999999995,False,500,2.94,1,0,0,0,0,0,N/A,11
NA,375,6,0.016,13,false,49.717815,4030.0000000000005,False,500,2.94,1,0,0,0,0,0,N/A,12
NA,375,6,0.016,14,false,49.718171,3990.0,False,500,2.94,1,0,0,0,0,0,N/A,13
NA,375,6,0.016,15,false,49.718217,3960.0,False,500,2.94,1,0,0,0,0,0,N/A,14
NA,375,6,0.016,16,false,49.718236,3930.0,False,500,2.94,1,0,0,0,0,0,N/A,15
NA,375,6,0.016,17,false,49.718232,3890.0,False,500,2.94,1,0,0,0,0,0,N/A,16
NA,375,6,0.016,18,false,49.718212,3860.0,False,500,2.94,1,0,0,0,0,0,N/A,17
NA,375,6,0.016,19,false,49.71822,3830.0,False,500,2.94,1,0,0,0,0,0,N/A,18
NA,375,6,0.016,20,false,49.718189,3790.0,False,500,2.94,1,0,0,0,0,0,N/A,19
NA,375,6,0.016,21,false,49.718165,3760.0,False,500,2.94,1,0,0,0,0,0,N/A,20
NA,375,6,0.016,22,false,49.718159,3730.0,False,500,2.94,1,0,0,0,0,0,N/A,21
NA,375,6,0.016,23,false,49.718128,3700.0,False,500,2.94,1,0,0,0,0,0,N/A,22
NA,375,6,0.016,24,false,49.718094,3670.0,False,500,2.94,1,0,0,0,0,0,N/A,23
NA,375,6,0.016,25,false,49.718059,3640.0,False,500,2.94,1,0,0,0,0,0,N/A,24
NA,375,6,0.016,26,false,49.718056,3610.0,False,500,2.94,1,0,0,0,0,0,N/A,25
NA,375,6,0.016,27,false,49.718032,3580.0,False,500,2.94,1,0,0,0,0,0,N/A,26
NA,375,6,0.016,28,false,49.718012,3550.0,False,500,2.94,1,0,0,0,0,0,N/A,27
NA,375,6,0.016,29,false,49.717985,3520.0,False,500,2.94,1,0,0,0,0,0,N/A,28
NA,375,6,0.016,30,false,49.717961,3490.0,False,500,2.94,1,0,0,0,0,0,N/A,29
NA,375,6,0.016,31,false,49.717939,3460.0,False,500,2.94,1,0,0,0,0,0,N/A,30
NA,375,6,0.016,32,false,49.717925,3430.0,False,500,2.94,1,0,0,0,0,0,N/A,31
NA,375,6,0.016,33,false,49.717904,3400.0,False,500,2.94,1,0,0,0,0,0,N/A,32
NA,375,6,0.016,34,false,49.71789,3370.0,False,500,2.94,1,0,0,0,0,0,N/A,33
NA,375,6,0.016,35,false,49.717875,3340.0,False,500,2.94,1,0,0,0,0,0,N/A,34
NA,375,6,0.016,36,false,49.717867,3320.0,False,500,2.94,1,0,0,0,0,0,N/A,35
NA,375,6,0.016,37,false,49.71786,3290.0,False,500,2.94,1,0,0,0,0,0,N/A,36
NA,375,6,0.016,38,false,49.717853,3260.0,False,500,2.94,1,0,0,0,0,0,N/A,37
NA,375,6,0.016,39,false,49.717849,3230.0,False,500,2.94,1,0,0,0,0,0,N/A,38
NA,375,6,0.016,40,false,49.717841,3210.0,False,500,2.94,1,0,0,0,0,0,N/A,39
NA,375,6,0.016,41,false,49.717842,3180.0,False,500,2.94,1,0,0,0,0,0,N/A,40
NA,375,6,0.016,42,false,49.717838,3150.0,False,500,2.94,1,0,0,0,0,0,N/A,41
