collision,total_steps,request_simulat_time,fixed_delta_seconds,current_simulat_time,stop_run,e_veloc,TTC,ttc_less_than_200,TTC_threshold,pedestrian_velocity,SAW_WALKER_cam1,SAW_WALKER_cam4,delay_count,delay_threshold,GLOBAL_BRAKE,apply_brake,new_velocity,frame_number
NA,375,6,0.016,1,false,45.461847,3690.0,False,500,2.72,1,0,0,0,0,0,N/A,0
NA,375,6,0.016,2,false,45.461837,3650.0,False,500,2.72,1,0,0,0,0,0,N/A,1
NA,375,6,0.016,3,false,45.461827,3620.0,False,500,2.72,1,0,0,0,0,0,N/A,2
NA,375,6,0.016,4,false,45.461817,3580.0,False,500,2.72,1,0,0,0,0,0,N/A,3
NA,375,6,0.016,5,false,45.461807,3550.0,False,500,2.72,1,0,0,0,0,0,N/A,4
NA,375,6,0.016,6,false,45.461797,3520.0,False,500,2.72,1,0,0,0,0,0,N/A,5
NA,375,6,0.016,7,false,45.461786,3480.0,False,500,2.72,1,0,0,0,0,0,N/A,6
NA,375,6,0.016,8,false,45.461776,3450.0,False,500,2.72,1,0,0,0,0,0,N/A,7
NA,375,6,0.016,9,false,45.461766,3420.0,False,500,2.72,1,0,0,0,0,0,N/A,8
NA,375,6,0.016,10,false,45.461756,3390.0,False,500,2.72,1,0,0,0,0,0,N/A,9
NA,375,6,0.016,11,false,45.461746,3360.0,False,500,2.72,1,0,0,0,0,0,N/A,10
NA,375,6,0.016,12,false,45.461737,3320.0,False,500,2.72,1,0,0,0,0,0,N/A,11
NA,375,6,0.016,13,false,45.461727,3290.0,False,500,2.72,1,0,0,0,0,0,N/A,12
NA,375,6,0.016,14,false,45.461718,3260.0,False,500,2.72,1,0,0,0,0,0,N/A,13
NA,375,6,0.016,15,false,45.461709,3230.0,False,500,2.72,1,0,0,0,0,0,N/A,14
NA,375,6,0.016,16,false,45.461701,3200.0,False,500,2.72,1,0,0,0,0,0,N/A,15
NA,375,6,0.016,17,false,45.461692,3170.0,False,500,2.72,1,0,0,0,0,0,N/A,16
NA,375,6,0.016,18,false,45.461684,3140.0,False,500,2.72,1,0,0,0,0,0,N/A,17
NA,375,6,0.016,19,false,45.461676,3110.0,False,500,2.72,1,0,0,0,0,0,N/A,18
NA,375,6,0.016,20,false,45.461668,3080.0,False,500,2.72,1,0,0,0,0,0,N/A,19
NA,375,6,0.016,21,false,45.46166,3060.0,False,500,2.72,1,0,0,0,0,0,N/A,20
NA,375,6,0.016,22,false,45.461653,3030.0,False,500,2.72,1,0,0,0,0,0,N/A,21
NA,375,6,0.016,23,false,45.461646,3000.0,False,500,2.72,1,0,0,0,0,0,N/A,22
NA,375,6,0.016,24,false,45.461639,2970.0,False,500,2.72,1,0,0,0,0,0,N/A,23
NA,375,6,0.016,25,false,45.461632,2940.0,False,500,2.72,1,0,0,0,0,0,N/A,24
NA,375,6,0.016,26,false,45.461625,2920.0,False,500,2.72,1,0,0,0,0,0,N/A,25
NA,375,6,0.016,27,false,45.461619,2890.0,False,500,2.72,1,0,0,0,0,0,N/A,26
NA,375,6,0.016,28,false,45.461612,2860.0,False,500,2.72,1,0,0,0,0,0,N/A,27
NA,375,6,0.016,29,false,45.461606,2830.0,False,500,2.72,1,0,0,0,0,0,N/A,28
NA,375,6,0.016,30,false,45.4616,2810.0,False,500,2.72,1,0,0,0,0,0,N/A,29
NA,375,6,0.016,31,false,45.461594,2780.0,False,500,2.72,1,0,0,0,0,0,N/A,30
NA,375,6,0.016,32,false,45.461588,2760.0,False,500,2.72,1,0,0,0,0,0,N/A,31
NA,375,6,0.016,33,false,45.461583,2730.0,False,500,2.72,1,0,0,0,0,0,N/A,32
NA,375,6,0.016,34,false,45.461577,2700.0,False,500,2.72,1,0,0,0,0,0,N/A,33
NA,375,6,0.016,35,false,45.461571,2680.0,False,500,2.72,1,0,0,0,0,0,N/A,34
NA,375,6,0.016,36,false,45.461566,2650.0,False,500,2.72,1,0,0,0,0,0,N/A,35
NA,375,6,0.016,37,false,45.461561,2630.0,False,500,2.72,1,0,0,0,0,0,N/A,36
NA,375,6,0.016,38,false,45.461555,2600.0,False,500,2.72,1,0,0,0,0,0,N/A,37
NA,375,6,0.016,39,false,45.46155,2580.0,False,500,2.72,1,0,0,0,0,0,N/A,38
NA,375,6,0.016,40,false,45.461545,2550.0,False,500,2.72,1,0,0,0,0,0,N/A,39
NA,375,6,0.016,41,false,45.46154,2530.0,False,500,2.72,1,0,0,0,0,0,N/A,40
