trajectory_id,collision,collision_frame,triggered,trigger_frame,ttc_at_trigger,pjoint,missed_collision,high_injury_collision,low_injury_collision,type1_error,type2_error,q_wait_at_trigger,q_trigger_at_trigger,speed_at_trigger,speed_at_collision
1,True,122.0,True,63.0,59.0,0.9999182964671504,False,True,False,False,False,5.464742660522461,5.479659080505371,66.73978863558234,54.42853899067047
2,False,,False,,,,False,False,False,False,False,,,,
3,True,86.0,True,17.0,69.0,0.3802255764201985,False,True,False,False,False,7.030566215515137,7.186299800872803,49.93172548618684,35.347025571372164
4,True,85.0,True,18.0,67.0,0.9981053993397834,False,True,False,False,False,5.183042526245117,5.187430381774902,59.55027753172823,50.023600001935385
5,True,178.0,True,105.0,73.0,0.9995328919359173,False,True,False,False,False,5.598136901855469,5.602859973907471,64.66396242264098,51.998998377019625
6,True,200.0,True,45.0,155.0,0.9990995919695558,False,True,False,False,False,4.128043174743652,4.21915864944458,62.13472713771382,51.08174832357906
7,False,,False,,,,False,False,False,False,False,,,,
8,False,,False,,,,False,False,False,False,False,,,,
9,False,,False,,,,False,False,False,False,False,,,,
10,False,,False,,,,False,False,False,False,False,,,,
11,False,,False,,,,False,False,False,False,False,,,,
12,True,80.0,True,15.0,65.0,0.969804989604594,False,True,False,False,False,4.64603328704834,4.66206693649292,63.276247127025755,46.55920338974945
13,False,,False,,,,False,False,False,False,False,,,,
14,True,113.0,True,27.0,86.0,0.9999998393668329,False,True,False,False,False,5.681589126586914,5.768826007843018,74.94896490560167,62.8725385214567
15,True,186.0,False,,,0.12188106802666276,True,False,True,False,False,,,,16.071398477261
16,False,,False,,,,False,False,False,False,False,,,,
17,True,165.0,False,,,0.3674340681163826,True,True,False,False,True,,,,34.83839102277099
18,True,286.0,True,57.0,229.0,0.35137641658737906,False,True,False,False,False,4.518643379211426,4.560130596160889,45.36468536498202,34.203558610995515
19,True,190.0,False,,,0.12967806807863946,True,False,True,False,False,,,,12.824259451287656
20,False,,False,,,,False,False,False,False,False,,,,
21,False,,False,,,,False,False,False,False,False,,,,
22,False,,False,,,,False,False,False,False,False,,,,
23,False,,False,,,,False,False,False,False,False,,,,
24,True,117.0,True,24.0,93.0,0.9996853239580679,False,True,False,False,False,5.282797813415527,5.308172225952148,66.92085545140439,52.56996082050412
25,False,,False,,,,False,False,False,False,False,,,,
26,True,133.0,False,,,0.9826493988321447,True,True,False,False,True,,,,47.25516816041709
27,True,158.0,True,80.0,78.0,0.80184116919571,False,True,False,False,False,5.825488090515137,5.856965065002441,54.97530255449761,43.10511124362019
28,True,113.0,False,,,0.11965310761485104,True,False,True,False,False,,,,20.736051330993007
29,True,132.0,True,13.0,119.0,0.9999719828940424,False,True,False,False,False,3.8446061611175537,3.8691461086273193,65.81808455824334,55.87196860880444
30,True,204.0,True,29.0,175.0,0.4947586530858823,False,True,False,False,False,4.4936418533325195,4.597196578979492,51.200025135802925,38.86189302413074
31,False,,True,2.0,,,False,False,False,True,False,4.146653175354004,4.173008441925049,66.51187274781587,
32,False,,False,,,,False,False,False,False,False,,,,
33,False,,True,99.0,,,False,False,False,True,False,3.3906471729278564,3.4919424057006836,65.43550622179947,
34,False,,False,,,,False,False,False,False,False,,,,
35,False,,False,,,,False,False,False,False,False,,,,
36,False,,True,1.0,,,False,False,False,True,False,2.953434467315674,3.092839002609253,62.598768835341154,
37,True,230.0,True,217.0,13.0,0.17760343561297764,False,False,True,True,False,5.88955020904541,5.941098213195801,32.53825595703184,26.9906872295197
38,False,,False,,,,False,False,False,False,False,,,,
39,False,,False,,,,False,False,False,False,False,,,,
40,False,,False,,,,False,False,False,False,False,,,,
41,True,115.0,True,40.0,75.0,0.7424246272921354,False,True,False,False,False,4.287569046020508,4.3460869789123535,56.57860780768206,42.25232771011036
42,False,,False,,,,False,False,False,False,False,,,,
43,True,197.0,True,84.0,113.0,0.998868810405391,False,True,False,False,False,6.209956169128418,6.213289737701416,61.23422917910325,50.74973317194964
44,False,,False,,,,False,False,False,False,False,,,,
45,False,,False,,,,False,False,False,False,False,,,,
46,True,167.0,True,156.0,11.0,0.26669271715514753,False,True,False,False,False,-1.6876225471496582,-0.8278976678848267,33.37188579900166,30.099578511248744
47,False,,False,,,,False,False,False,False,False,,,,
48,True,194.0,True,35.0,159.0,0.9766892239485729,False,True,False,False,False,5.006126403808594,5.01257848739624,55.65563701814495,46.88869737009181
49,False,,False,,,,False,False,False,False,False,,,,
50,False,,False,,,,False,False,False,False,False,,,,
51,False,,False,,,,False,False,False,False,False,,,,
52,False,,False,,,,False,False,False,False,False,,,,
53,False,,False,,,,False,False,False,False,False,,,,
54,False,,False,,,,False,False,False,False,False,,,,
55,True,305.0,False,,,0.12265441881524508,True,False,True,False,False,,,,15.669964851345808
56,False,,False,,,,False,False,False,False,False,,,,
57,True,128.0,True,72.0,56.0,0.9999851933423528,False,True,False,False,False,5.201266288757324,5.2107038497924805,70.15352611568534,56.7940595064988
58,True,67.0,False,,,0.13338267353660582,True,False,True,False,False,,,,11.620494673990056
59,True,84.0,True,19.0,65.0,0.9957542028371305,False,True,False,False,False,6.239465713500977,6.273337364196777,63.75502459054773,48.95738987894967
60,True,107.0,True,88.0,19.0,0.3476202366623632,False,True,False,False,False,8.423643112182617,8.60741901397705,42.36249124130641,34.04332761912648
61,False,,False,,,,False,False,False,False,False,,,,
62,True,129.0,True,119.0,10.0,0.8685056483966046,False,True,False,False,False,5.3130083084106445,5.394705295562744,47.43228939590904,44.16566673013337
63,False,,False,,,,False,False,False,False,False,,,,
64,True,73.0,True,72.0,1.0,0.9996407151221245,False,True,False,False,False,4.166799545288086,4.398666858673096,53.36053559245412,52.376024989065705
65,True,207.0,False,,,0.13599219184632672,True,False,True,False,False,,,,10.841943536096187
66,False,,False,,,,False,False,False,False,False,,,,
67,False,,False,,,,False,False,False,False,False,,,,
68,True,173.0,True,104.0,69.0,0.6199284918171413,False,True,False,False,False,3.4119935035705566,3.441225290298462,55.92438445952716,40.61942270535822
69,True,81.0,True,27.0,54.0,0.8550671468362899,False,True,False,False,False,5.1520280838012695,5.15817403793335,61.770518096147626,43.94050174453789
70,True,85.0,True,16.0,69.0,0.9589335285995764,False,True,False,False,False,4.319790840148926,4.387683391571045,64.16825491202624,46.153112679980204
71,True,110.0,True,29.0,81.0,0.9725213005077447,False,True,False,False,False,4.394228935241699,4.4875946044921875,62.50638700235786,46.67992968497628
72,False,,False,,,,False,False,False,False,False,,,,
73,False,,False,,,,False,False,False,False,False,,,,
74,False,,False,,,,False,False,False,False,False,,,,
75,False,,False,,,,False,False,False,False,False,,,,
76,True,94.0,False,,,0.9030980233008172,True,True,False,False,True,,,,44.796869074225945
77,False,,False,,,,False,False,False,False,False,,,,
78,True,106.0,False,,,0.9967006193342378,True,True,False,False,True,,,,49.28078923606883
79,False,,False,,,,False,False,False,False,False,,,,
80,True,241.0,True,143.0,98.0,0.1910698003913407,False,False,True,True,False,3.6595823764801025,3.6621761322021484,37.79583142238981,27.54447310300781
81,True,168.0,True,98.0,70.0,0.9874457698955728,False,True,False,False,False,5.8271331787109375,5.838057041168213,62.069367988883144,47.642787550665474
82,False,,False,,,,False,False,False,False,False,,,,
83,False,,False,,,,False,False,False,False,False,,,,
84,False,,False,,,,False,False,False,False,False,,,,
85,False,,False,,,,False,False,False,False,False,,,,
86,False,,False,,,,False,False,False,False,False,,,,
87,True,167.0,True,41.0,126.0,0.9999869700898736,False,True,False,False,False,3.8111348152160645,3.827958345413208,69.58171185862591,56.97522870307782
88,False,,False,,,,False,False,False,False,False,,,,
89,True,106.0,True,34.0,72.0,0.9111632673072143,False,True,False,False,False,4.57436466217041,4.655220031738281,60.33451504307378,44.9568473156497
90,True,183.0,True,64.0,119.0,0.9999930890454968,False,True,False,False,False,6.274855613708496,6.310765266418457,71.84545508863756,57.819172452605635
91,True,128.0,True,27.0,101.0,0.9999013251007822,False,True,False,False,False,5.489473342895508,5.4923224449157715,66.67694243310696,54.18688590196231
92,False,,False,,,,False,False,False,False,False,,,,
93,True,327.0,False,,,0.1262996700115584,True,False,True,False,False,,,,14.065503541208793
94,False,,False,,,,False,False,False,False,False,,,,
95,False,,False,,,,False,False,False,False,False,,,,
96,False,,False,,,,False,False,False,False,False,,,,
97,True,203.0,True,33.0,170.0,0.9995613592206599,False,True,False,False,False,3.425537347793579,3.4563658237457275,62.16768974230058,52.08754731283735
98,False,,False,,,,False,False,False,False,False,,,,
99,False,,False,,,,False,False,False,False,False,,,,
100,False,,False,,,,False,False,False,False,False,,,,
101,False,,False,,,,False,False,False,False,False,,,,
102,True,96.0,True,21.0,75.0,0.9992574939139859,False,True,False,False,False,4.9908599853515625,5.229742050170898,65.10653959592625,51.35788658750433
103,False,,False,,,,False,False,False,False,False,,,,
104,True,265.0,False,,,0.22656972910160378,True,True,False,False,True,,,,28.794806938995215
105,False,,False,,,,False,False,False,False,False,,,,
106,False,,False,,,,False,False,False,False,False,,,,
107,True,317.0,False,,,0.12321844309035002,True,False,True,False,False,,,,15.39454309862796
108,True,74.0,False,,,0.361927962549743,True,True,False,False,True,,,,34.60874615049305
109,True,127.0,False,,,0.38102745889950396,True,True,False,False,True,,,,35.382635869776664
110,False,,False,,,,False,False,False,False,False,,,,
111,False,,False,,,,False,False,False,False,False,,,,
112,True,152.0,True,55.0,97.0,0.32492616160621735,False,True,False,False,False,4.213840484619141,4.216085433959961,50.02616290270713,33.08778242754395
113,False,,False,,,,False,False,False,False,False,,,,
114,False,,False,,,,False,False,False,False,False,,,,
115,True,242.0,False,,,0.20233743738116117,True,True,False,False,True,,,,27.95208574963727
116,True,186.0,True,35.0,151.0,0.9985396609430075,False,True,False,False,False,3.87457537651062,3.8868629932403564,63.4721385138828,50.384659549103915
117,True,187.0,False,,,0.13222876755562885,True,False,True,False,False,,,,11.98154639347639
118,True,248.0,False,,,0.37284951386352727,True,True,False,False,True,,,,35.05785333100211
119,False,,False,,,,False,False,False,False,False,,,,
