trajectory_id,collision,collision_frame,triggered,trigger_frame,ttc_at_trigger,pjoint,missed_collision,high_injury_collision,low_injury_collision,type1_error,type2_error,q_wait_at_trigger,q_trigger_at_trigger,speed_at_trigger,speed_at_collision
1,True,122.0,True,78.0,44.0,0.9999182964671504,False,True,False,False,False,6.823328971862793,6.856393337249756,66.73976347482945,54.42853899067047
2,False,,False,,,,False,False,False,False,False,,,,
3,True,86.0,True,47.0,39.0,0.3802255764201985,False,True,False,False,False,6.799015998840332,6.957486629486084,49.93132644430541,35.347025571372164
4,True,85.0,True,18.0,67.0,0.9981053993397834,False,True,False,False,False,6.687231063842773,6.698949337005615,59.55027753172823,50.023600001935385
5,True,178.0,True,166.0,12.0,0.9995328919359173,False,True,False,False,False,5.7935791015625,5.85367488861084,58.25675741771475,51.998998377019625
6,True,200.0,True,191.0,9.0,0.9990995919695558,False,True,False,False,False,5.838781356811523,5.841891765594482,55.44639808601348,51.08174832357906
7,False,,False,,,,False,False,False,False,False,,,,
8,False,,False,,,,False,False,False,False,False,,,,
9,False,,False,,,,False,False,False,False,False,,,,
10,False,,False,,,,False,False,False,False,False,,,,
11,False,,False,,,,False,False,False,False,False,,,,
12,True,80.0,True,17.0,63.0,0.969804989604594,False,True,False,False,False,6.91146183013916,6.9490203857421875,63.27622486246845,46.55920338974945
13,False,,False,,,,False,False,False,False,False,,,,
14,True,113.0,True,56.0,57.0,0.9999998393668329,False,True,False,False,False,5.206345558166504,5.311648368835449,74.9487731231605,62.8725385214567
15,True,186.0,False,,,0.12188106802666276,True,False,True,False,False,,,,16.071398477261
16,False,,False,,,,False,False,False,False,False,,,,
17,True,165.0,True,26.0,139.0,0.3674340681163826,False,True,False,False,False,4.684850692749023,4.727870464324951,48.40770197979508,34.83839102277099
18,True,286.0,True,64.0,222.0,0.35137641658737906,False,True,False,False,False,6.369841575622559,6.379273891448975,45.36466994840987,34.203558610995515
19,True,190.0,False,,,0.12967806807863946,True,False,True,False,False,,,,12.824259451287656
20,False,,True,1.0,,,False,False,False,True,False,2.634880542755127,2.67792010307312,69.56982846458007,
21,False,,False,,,,False,False,False,False,False,,,,
22,False,,True,0.0,,,False,False,False,True,False,3.460824489593506,5.006922245025635,55.173670554398065,
23,False,,False,,,,False,False,False,False,False,,,,
24,True,117.0,True,114.0,3.0,0.9996853239580679,False,True,False,False,False,5.3949079513549805,5.534626483917236,55.10738222457728,52.56996082050412
25,False,,False,,,,False,False,False,False,False,,,,
26,True,133.0,True,1.0,132.0,0.9826493988321447,False,True,False,False,False,4.164330959320068,4.267932891845703,59.70190801184827,47.25516816041709
27,True,158.0,True,0.0,158.0,0.80184116919571,False,True,False,False,False,3.3449273109436035,4.86955451965332,54.975695523542065,43.10511124362019
28,True,113.0,False,,,0.11965310761485104,True,False,True,False,False,,,,20.736051330993007
29,True,132.0,True,0.0,132.0,0.9999719828940424,False,True,False,False,False,4.064857482910156,4.4032697677612305,65.81818066845457,55.87196860880444
30,True,204.0,True,180.0,24.0,0.4947586530858823,False,True,False,False,False,7.268481254577637,7.288237571716309,50.320102500147726,38.86189302413074
31,False,,True,63.0,,,False,False,False,True,False,3.67946195602417,3.754342794418335,66.5115975253356,
32,False,,False,,,,False,False,False,False,False,,,,
33,False,,True,0.0,,,False,False,False,True,False,3.6930365562438965,4.338407516479492,65.43584156551613,
34,False,,False,,,,False,False,False,False,False,,,,
35,False,,False,,,,False,False,False,False,False,,,,
36,False,,False,,,,False,False,False,False,False,,,,
37,True,230.0,False,,,0.17760343561297764,True,False,True,False,False,,,,26.9906872295197
38,False,,False,,,,False,False,False,False,False,,,,
39,False,,False,,,,False,False,False,False,False,,,,
40,False,,False,,,,False,False,False,False,False,,,,
41,True,115.0,True,75.0,40.0,0.7424246272921354,False,True,False,False,False,4.941959857940674,4.950775146484375,56.57854278051655,42.25232771011036
42,False,,False,,,,False,False,False,False,False,,,,
43,True,197.0,True,195.0,2.0,0.998868810405391,False,True,False,False,False,3.354652166366577,4.302638530731201,52.32306409643257,50.74973317194964
44,False,,True,0.0,,,False,False,False,True,False,5.770132064819336,6.7551679611206055,62.98696349942594,
45,False,,False,,,,False,False,False,False,False,,,,
46,True,167.0,True,77.0,90.0,0.26669271715514753,False,True,False,False,False,6.413749694824219,6.714155673980713,41.38219904766638,30.099578511248744
47,False,,False,,,,False,False,False,False,False,,,,
48,True,194.0,True,193.0,1.0,0.9766892239485729,False,True,False,False,False,5.195509433746338,6.44671630859375,47.92165655897117,46.88869737009181
49,False,,False,,,,False,False,False,False,False,,,,
50,False,,False,,,,False,False,False,False,False,,,,
51,False,,False,,,,False,False,False,False,False,,,,
52,False,,False,,,,False,False,False,False,False,,,,
53,False,,False,,,,False,False,False,False,False,,,,
54,False,,False,,,,False,False,False,False,False,,,,
55,True,305.0,False,,,0.12265441881524508,True,False,True,False,False,,,,15.669964851345808
56,False,,False,,,,False,False,False,False,False,,,,
57,True,128.0,True,74.0,54.0,0.9999851933423528,False,True,False,False,False,8.009223937988281,8.08636474609375,70.153521665365,56.7940595064988
58,True,67.0,False,,,0.13338267353660582,True,False,True,False,False,,,,11.620494673990056
59,True,84.0,True,20.0,64.0,0.9957542028371305,False,True,False,False,False,5.954547882080078,6.017004489898682,63.75501042554029,48.95738987894967
60,True,107.0,True,26.0,81.0,0.3476202366623632,False,True,False,False,False,5.971233367919922,5.97750186920166,54.34428225099323,34.04332761912648
61,False,,False,,,,False,False,False,False,False,,,,
62,True,129.0,True,31.0,98.0,0.8685056483966046,False,True,False,False,False,5.063291549682617,5.066628932952881,58.57442698704318,44.16566673013337
63,False,,False,,,,False,False,False,False,False,,,,
64,True,73.0,True,19.0,54.0,0.9996407151221245,False,True,False,False,False,5.828413009643555,5.845431804656982,65.22294105681264,52.376024989065705
65,True,207.0,False,,,0.13599219184632672,True,False,True,False,False,,,,10.841943536096187
66,False,,False,,,,False,False,False,False,False,,,,
67,False,,True,0.0,,,False,False,False,True,False,5.6768412590026855,7.04634952545166,59.213540679227904,
68,True,173.0,True,152.0,21.0,0.6199284918171413,False,True,False,False,False,7.428424835205078,7.8914289474487305,48.11874520494087,40.61942270535822
69,True,81.0,True,79.0,2.0,0.8550671468362899,False,True,False,False,False,-1.15762460231781,1.2114248275756836,45.0482780500806,43.94050174453789
70,True,85.0,True,18.0,67.0,0.9589335285995764,False,True,False,False,False,6.636317253112793,6.682034969329834,64.16821278891686,46.153112679980204
