trajectory_id,collision,collision_frame,triggered,trigger_frame,ttc_at_trigger,pjoint,missed_collision,high_injury_collision,low_injury_collision,type1_error,type2_error,q_wait_at_trigger,q_trigger_at_trigger,speed_at_trigger,speed_at_collision
1,True,122.0,True,54.0,68.0,0.9999182964671504,False,True,False,False,False,4.853643894195557,4.867453098297119,66.73979656835182,54.42853899067047
2,False,,True,94.0,,,False,False,False,True,False,3.0605180263519287,3.081511974334717,48.421303514079554,
3,True,86.0,True,17.0,69.0,0.3802255764201985,False,True,False,False,False,1.59186589717865,1.8863009214401245,49.93172548618684,35.347025571372164
4,True,85.0,True,23.0,62.0,0.9981053993397834,False,True,False,False,False,2.034945487976074,2.059572458267212,59.550187686494766,50.023600001935385
5,True,178.0,True,87.0,91.0,0.9995328919359173,False,True,False,False,False,5.451013088226318,5.475837230682373,64.66399444404576,51.998998377019625
6,True,200.0,True,75.0,125.0,0.9990995919695558,False,True,False,False,False,4.814504623413086,4.827937602996826,62.13466690915961,51.08174832357906
7,False,,False,,,,False,False,False,False,False,,,,
8,False,,False,,,,False,False,False,False,False,,,,
9,False,,False,,,,False,False,False,False,False,,,,
10,False,,False,,,,False,False,False,False,False,,,,
11,False,,False,,,,False,False,False,False,False,,,,
12,True,80.0,True,16.0,64.0,0.969804989604594,False,True,False,False,False,1.4747134447097778,1.5317397117614746,63.276234249699385,46.55920338974945
13,False,,True,25.0,,,False,False,False,True,False,2.3332395553588867,2.371720314025879,58.86989230166343,
14,True,113.0,True,72.0,41.0,0.9999998393668329,False,True,False,False,False,6.091714859008789,6.098320960998535,74.94875596086258,62.8725385214567
15,True,186.0,False,,,0.12188106802666276,True,False,True,False,False,,,,16.071398477261
16,False,,False,,,,False,False,False,False,False,,,,
17,True,165.0,True,25.0,140.0,0.3674340681163826,False,True,False,False,False,5.809874057769775,5.983811855316162,48.407725060994345,34.83839102277099
18,True,286.0,True,97.0,189.0,0.35137641658737906,False,True,False,False,False,4.8602776527404785,4.893062591552734,45.36609703212506,34.203558610995515
19,True,190.0,False,,,0.12967806807863946,True,False,True,False,False,,,,12.824259451287656
20,False,,False,,,,False,False,False,False,False,,,,
21,False,,False,,,,False,False,False,False,False,,,,
22,False,,False,,,,False,False,False,False,False,,,,
23,False,,True,74.0,,,False,False,False,True,False,3.337904691696167,3.3529176712036133,74.32994862964247,
24,True,117.0,True,86.0,31.0,0.9996853239580679,False,True,False,False,False,5.174342632293701,5.260075092315674,66.91609496239653,52.56996082050412
25,False,,False,,,,False,False,False,False,False,,,,
26,True,133.0,True,132.0,1.0,0.9826493988321447,False,True,False,False,False,-3.313133478164673,10.091410636901855,48.43648781498752,47.25516816041709
27,True,158.0,True,35.0,123.0,0.80184116919571,False,True,False,False,False,6.881282329559326,6.8865532875061035,54.97545730659098,43.10511124362019
28,True,113.0,True,72.0,41.0,0.11965310761485104,False,False,True,True,False,3.6469650268554688,3.6979031562805176,35.18128272953964,20.736051330993007
