trajectory_id,collision,collision_frame,triggered,trigger_frame,ttc_at_trigger,pjoint,missed_collision,high_injury_collision,low_injury_collision,type1_error,type2_error,q_wait_at_trigger,q_trigger_at_trigger,speed_at_trigger,speed_at_collision
1,True,122.0,True,121.0,1.0,0.9999182964671504,False,True,False,False,False,2.211289644241333,10.454509735107422,55.992429956573076,54.42853899067047
2,False,,True,75.0,,,False,False,False,True,False,5.431901454925537,5.446397304534912,48.42135797219545,
3,True,86.0,True,25.0,61.0,0.3802255764201985,False,True,False,False,False,6.290268898010254,6.318216323852539,49.931554133045566,35.347025571372164
4,True,85.0,True,13.0,72.0,0.9981053993397834,False,True,False,False,False,4.390115261077881,4.391738414764404,59.550314889600365,50.023600001935385
5,True,178.0,True,116.0,62.0,0.9995328919359173,False,True,False,False,False,6.20377779006958,6.205057621002197,64.66394617619954,51.998998377019625
6,True,200.0,True,76.0,124.0,0.9990995919695558,False,True,False,False,False,4.86210823059082,4.876494884490967,62.13466430588088,51.08174832357906
7,False,,False,,,,False,False,False,False,False,,,,
8,False,,False,,,,False,False,False,False,False,,,,
9,False,,False,,,,False,False,False,False,False,,,,
10,False,,False,,,,False,False,False,False,False,,,,
11,False,,False,,,,False,False,False,False,False,,,,
12,True,80.0,True,2.0,78.0,0.969804989604594,False,True,False,False,False,1.4945014715194702,1.5255556106567383,63.21415648654507,46.55920338974945
13,False,,False,,,,False,False,False,False,False,,,,
14,True,113.0,True,60.0,53.0,0.9999998393668329,False,True,False,False,False,5.837837219238281,5.841500282287598,74.94877017356995,62.8725385214567
15,True,186.0,False,,,0.12188106802666276,True,False,True,False,False,,,,16.071398477261
16,False,,True,194.0,,,False,False,False,True,False,0.04554419219493866,0.13199910521507263,60.965136536834095,
17,True,165.0,True,31.0,134.0,0.3674340681163826,False,True,False,False,False,7.439203262329102,7.47683572769165,48.407616080633694,34.83839102277099
18,True,286.0,True,91.0,195.0,0.35137641658737906,False,True,False,False,False,4.894256114959717,4.909819602966309,45.36611656619238,34.203558610995515
19,True,190.0,False,,,0.12967806807863946,True,False,True,False,False,,,,12.824259451287656
20,False,,False,,,,False,False,False,False,False,,,,
21,False,,False,,,,False,False,False,False,False,,,,
22,False,,False,,,,False,False,False,False,False,,,,
23,False,,True,76.0,,,False,False,False,True,False,4.734127521514893,4.777557373046875,74.32994459409969,
24,True,117.0,True,69.0,48.0,0.9996853239580679,False,True,False,False,False,6.268662452697754,6.302454471588135,66.92056536253253,52.56996082050412
