frame,ped_height,sim_time,walker,ego,e_veloc,distance,walker_vel_ms,ego_vel_ms,ttc_less_than_200,walker_vel_mms,ego_vel_mms,TCC,TCC_threshold,w_location_x,w_location_y,w_location_z,e_location_x,e_location_y,e_location_z,w_rotation_pitch,w_rotation_yaw,w_rotation_roll,e_rotation_pitch,e_rotation_yaw,e_rotation_roll
0,1.8600000143051147,1,walker.pedestrian.0004,vehicle.nissan.patrol_2021,40.4226,49.542808532714844,0.0,11.228499976977956,False,0.0,0.011228499976977956,4410.0,500,108.44609832763672,13.049999237060547,1.1038998365402222,58.97066116333008,7.799999713897705,0.09752467274665833,-0.03139837831258774,-89.99999237060547,0.0,-0.007233169861137867,0.0,9.184964255837258e-07
1,1.8600000143051147,2,walker.pedestrian.0004,vehicle.nissan.patrol_2021,40.422589,49.363155364990234,0.0387573204934597,11.228497021947454,False,3.87573204934597e-05,0.011228497021947455,4380.0,500,108.44609832763672,13.049379348754883,1.1038998365402222,59.15034866333008,7.799999713897705,0.09690748900175095,-0.03139837831258774,-89.99999237060547,0.0,-0.007021434139460325,0.0,1.786865482245048e-06
2,1.8600000143051147,3,walker.pedestrian.0004,vehicle.nissan.patrol_2021,40.422578,49.183475494384766,0.0775146409869194,11.228493967328298,False,7.75146409869194e-05,0.011228493967328298,4350.0,500,108.44609832763672,13.048139572143555,1.1038998365402222,59.33004379272461,7.799999713897705,0.09629454463720322,-0.03139837831258774,-89.99999237060547,0.0,-0.006714075803756714,0.0,2.866479690055712e-06
3,1.8600000143051147,4,walker.pedestrian.0004,vehicle.nissan.patrol_2021,40.422567,49.00380325317383,0.1162719577550888,11.228490844679284,False,0.0001162719577550888,0.011228490844679284,4320.0,500,108.44609832763672,13.046278953552246,1.1038998365402222,59.509735107421875,7.799999713897705,0.09568572044372559,-0.03139837831258774,-89.99999237060547,0.0,-0.006345245521515608,0.0,4.175034973741276e-06
4,1.8600000143051147,5,walker.pedestrian.0004,vehicle.nissan.patrol_2021,40.422556,48.82411193847656,0.1550292819738388,11.228487704582559,False,0.0001550292819738388,0.01122848770458256,4290.0,500,108.44609832763672,13.043798446655273,1.1038998365402222,59.68942642211914,7.799999713897705,0.09508158266544342,-0.03139837831258774,-89.99999237060547,0.0,-0.005955924745649099,0.0,5.570586381509202e-06
5,1.8600000143051147,6,walker.pedestrian.0004,vehicle.nissan.patrol_2021,40.422545,48.6444206237793,0.1937865912914276,11.228484587189842,False,0.00019378659129142762,0.011228484587189842,4260.0,500,108.44609832763672,13.040698051452637,1.1038998365402222,59.86911392211914,7.799999713897705,0.09448236972093582,-0.03139837831258774,-89.99999237060547,0.0,-0.005491471849381924,0.0,7.100293260009494e-06
6,1.8600000143051147,7,walker.pedestrian.0004,vehicle.nissan.patrol_2021,40.422533,48.46470260620117,0.2325439155101776,11.228481426722112,False,0.0002325439155101776,0.011228481426722113,4230.0,500,108.44609832763672,13.03697681427002,1.1038998365402222,60.04880905151367,7.799999713897705,0.09388770163059235,-0.03139837831258774,-89.99999237060547,0.0,-0.005033849272876978,0.0,8.636443453724496e-06
7,1.8600000143051147,8,walker.pedestrian.0004,vehicle.nissan.patrol_2021,40.422522,48.28499221801758,0.2713012397289276,11.228478336094595,False,0.0002713012397289276,0.011228478336094595,4200.0,500,108.44609832763672,13.032636642456055,1.1038998365402222,60.22850036621094,7.799999713897705,0.09329824894666672,-0.03139837831258774,-89.99999237060547,0.0,-0.004576226696372032,0.0,1.0224696779914666e-05
8,1.8600000143051147,9,walker.pedestrian.0004,vehicle.nissan.patrol_2021,40.422511,48.105262756347656,0.3100585639476776,11.228475284077911,False,0.0003100585639476776,0.01122847528407791,4170.0,500,108.44609832763672,13.02767562866211,1.1038998365402222,60.4081916809082,7.799999713897705,0.09271391481161118,-0.03139837831258774,-89.99999237060547,0.0,-0.004118603654205799,0.0,1.1697877198457718e-05
9,1.8600000143051147,10,walker.pedestrian.0004,vehicle.nissan.patrol_2021,40.4225,47.92552947998047,0.3488158583641052,11.228472274761288,False,0.0003488158583641052,0.011228472274761288,4140.0,500,108.44609832763672,13.0220947265625,1.1038998365402222,60.58788299560547,7.799999713897705,0.09213442355394363,-0.03139837831258774,-89.99999237060547,0.0,-0.0036336604971438646,1.4022915641176414e-11,1.3180429050407838e-05
