frame,ped_height,sim_time,walker,ego,e_veloc,distance,walker_vel_ms,ego_vel_ms,ttc_less_than_200,walker_vel_mms,ego_vel_mms,TCC,TCC_threshold,w_location_x,w_location_y,w_location_z,e_location_x,e_location_y,e_location_z,w_rotation_pitch,w_rotation_yaw,w_rotation_roll,e_rotation_pitch,e_rotation_yaw,e_rotation_roll
0,1.8600000143051147,1,walker.pedestrian.0004,vehicle.nissan.patrol_2021,56.787514,21.044803619384766,0.0,15.774309350748036,False,0.0,0.015774309350748035,1330.0,500,74.50808715820312,13.049999237060547,1.1038998365402222,53.537010192871094,7.799999713897705,0.09770458191633224,0.15539363026618958,-89.99999237060547,0.0,-0.04361075535416603,-3.051757266803179e-05,9.889453394862358e-06
1,1.8600000143051147,2,walker.pedestrian.0004,vehicle.nissan.patrol_2021,56.125924,20.79558563232422,0.0357055626809597,15.59053452948786,False,3.57055626809597e-05,0.01559053452948786,1330.0,500,74.50808715820312,13.04942798614502,1.1038998365402222,53.786277770996094,7.8000006675720215,0.09699317812919617,0.15539363026618958,-89.99999237060547,0.0,-0.05106249079108238,-9.155272709904239e-05,3.347721212776378e-05
2,1.8600000143051147,3,walker.pedestrian.0004,vehicle.nissan.patrol_2021,55.913247,20.547019958496094,0.0714111253619194,15.531457624418,False,7.14111253619194e-05,0.015531457624418,1320.0,500,74.50808715820312,13.048285484313965,1.1038998365402222,54.034881591796875,7.8000006675720215,0.09624412655830383,0.15539363026618958,-89.99999237060547,0.0,-0.05700475722551346,-0.00018310545419808477,6.965730426600203e-05
3,1.8600000143051147,4,walker.pedestrian.0004,vehicle.nissan.patrol_2021,55.884143,20.29853057861328,0.1071166843175888,15.523373078461272,False,0.00010711668431758881,0.015523373078461272,1300.0,500,74.50808715820312,13.046571731567383,1.1038998365402222,54.28339767456055,7.80000114440918,0.09547275304794312,0.15539363026618958,-89.99999237060547,0.0,-0.06256452947854996,-0.0003051757230423391,0.00011485752474982291
4,1.8600000143051147,5,walker.pedestrian.0004,vehicle.nissan.patrol_2021,55.887875,20.05002212524414,0.1428222507238388,15.524409777207252,False,0.0001428222507238388,0.015524409777207251,1280.0,500,74.50808715820312,13.044286727905273,1.1038998365402222,54.53192901611328,7.800002098083496,0.09468158334493637,0.15539363026618958,-89.99999237060547,0.0,-0.0678374320268631,-0.0004577636136673391,0.00016583064279984683
5,1.8600000143051147,6,walker.pedestrian.0004,vehicle.nissan.patrol_2021,55.890013,19.801502227783203,0.1785278022289276,15.525003588523667,False,0.00017852780222892762,0.015525003588523666,1260.0,500,74.50808715820312,13.041430473327637,1.1038998365402222,54.78045654296875,7.8000030517578125,0.09387073665857315,0.15539363026618958,-89.99999237060547,0.0,-0.07272785156965256,-0.0006408691988326609,0.0002199403679696843
6,1.8600000143051147,7,walker.pedestrian.0004,vehicle.nissan.patrol_2021,55.889364,19.552978515625,0.2142333686351776,15.52482345261936,False,0.00021423336863517762,0.01552482345261936,1240.0,500,74.50808715820312,13.038002967834473,1.1038998365402222,55.02899169921875,7.800004005432129,0.0930425226688385,0.15539363026618958,-89.99999237060547,0.0,-0.0771811306476593,-0.0008544920710846782,0.0002747161779552698
7,1.8600000143051147,8,walker.pedestrian.0004,vehicle.nissan.patrol_2021,55.889414,19.304431915283203,0.2499389350414276,15.524837237110951,False,0.0002499389350414276,0.01552483723711095,1220.0,500,74.50808715820312,13.034003257751465,1.1038998365402222,55.27753448486328,7.8000054359436035,0.09219790995121002,0.15539363026618958,-89.99999237060547,0.0,-0.0812382623553276,-0.001068115234375,0.00032809434924274683
8,1.8600000143051147,9,walker.pedestrian.0004,vehicle.nissan.patrol_2021,55.88952,19.055877685546875,0.2856445014476776,15.52486668382176,False,0.0002856445014476776,0.01552486668382176,1210.0,500,74.50808715820312,13.029433250427246,1.1038998365402222,55.52607345581055,7.799999237060547,0.0913388803601265,0.15539363026618958,-89.99999237060547,0.0,-0.08487192541360855,-0.0013122556265443563,0.0003783675783779472
9,1.8600000143051147,10,walker.pedestrian.0004,vehicle.nissan.patrol_2021,55.889566,18.807308197021484,0.3213500380516052,15.52487932542727,False,0.00032135003805160525,0.01552487932542727,1190.0,500,74.50808715820312,13.0242919921875,1.1038998365402222,55.77462387084961,7.799991130828857,0.09046722203493118,0.15539363026618958,-89.99999237060547,0.0,-0.08804113417863846,-0.001556396484375,0.0004241145506966859
