trajectory_id,collision,collision_frame,triggered,trigger_frame,ttc_at_trigger,pjoint,missed_collision,high_injury_collision,low_injury_collision,type1_error,type2_error,q_wait_at_trigger,q_trigger_at_trigger,speed_at_trigger,speed_at_collision
1,True,122.0,True,121.0,1.0,0.9999182964671504,False,True,False,False,False,-2.5097174644470215,11.6307954788208,55.992429956573076,54.42853899067047
2,False,,False,,,,False,False,False,False,False,,,,
3,True,86.0,True,32.0,54.0,0.3802255764201985,False,True,False,False,False,5.426440238952637,5.453371524810791,49.93142834917556,35.347025571372164
4,True,85.0,True,84.0,1.0,0.9981053993397834,False,True,False,False,False,-3.9921116828918457,7.806098461151123,50.870453435467134,50.023600001935385
5,True,178.0,True,85.0,93.0,0.9995328919359173,False,True,False,False,False,5.578236103057861,5.57948112487793,64.66399848520209,51.998998377019625
6,True,200.0,True,71.0,129.0,0.9990995919695558,False,True,False,False,False,4.887551307678223,4.924243927001953,62.13467620904388,51.08174832357906
7,False,,False,,,,False,False,False,False,False,,,,
8,False,,False,,,,False,False,False,False,False,,,,
9,False,,False,,,,False,False,False,False,False,,,,
10,False,,False,,,,False,False,False,False,False,,,,
11,False,,False,,,,False,False,False,False,False,,,,
12,True,80.0,True,16.0,64.0,0.969804989604594,False,True,False,False,False,6.404092311859131,6.4296698570251465,63.276234249699385,46.55920338974945
13,False,,False,,,,False,False,False,False,False,,,,
14,True,113.0,True,65.0,48.0,0.9999998393668329,False,True,False,False,False,5.93674898147583,5.941709995269775,74.94877196897278,62.8725385214567
15,True,186.0,False,,,0.12188106802666276,True,False,True,False,False,,,,16.071398477261
16,False,,True,52.0,,,False,False,False,True,False,4.005897045135498,4.0062432289123535,71.34222898503192,
17,True,165.0,True,59.0,106.0,0.3674340681163826,False,True,False,False,False,3.932161808013916,3.9679617881774902,48.40746119720977,34.83839102277099
18,True,286.0,True,80.0,206.0,0.35137641658737906,False,True,False,False,False,5.538444995880127,5.5472941398620605,45.364627361365926,34.203558610995515
19,True,190.0,False,,,0.12967806807863946,True,False,True,False,False,,,,12.824259451287656
20,False,,False,,,,False,False,False,False,False,,,,
21,False,,False,,,,False,False,False,False,False,,,,
22,False,,False,,,,False,False,False,False,False,,,,
23,False,,True,74.0,,,False,False,False,True,False,3.9389209747314453,3.9931282997131348,74.32994862964247,
24,True,117.0,True,23.0,94.0,0.9996853239580679,False,True,False,False,False,4.562996864318848,4.806997776031494,66.92088882703669,52.56996082050412
25,False,,False,,,,False,False,False,False,False,,,,
26,True,133.0,True,132.0,1.0,0.9826493988321447,False,True,False,False,False,-3.024322986602783,9.418776512145996,48.43648781498752,47.25516816041709
27,True,158.0,True,45.0,113.0,0.80184116919571,False,True,False,False,False,4.143448352813721,4.188655853271484,54.975416202769495,43.10511124362019
28,True,113.0,False,,,0.11965310761485104,True,False,True,False,False,,,,20.736051330993007
29,True,132.0,True,32.0,100.0,0.9999719828940424,False,True,False,False,False,5.217467784881592,5.240584850311279,65.81798753047845,55.87196860880444
30,True,204.0,True,68.0,136.0,0.4947586530858823,False,True,False,False,False,5.2317094802856445,5.266125202178955,51.19986445875347,38.86189302413074
31,False,,True,14.0,,,False,False,False,True,False,4.661970138549805,4.716760158538818,66.51178487978979,
32,False,,False,,,,False,False,False,False,False,,,,
33,False,,True,43.0,,,False,False,False,True,False,3.6543827056884766,3.6689348220825195,65.43564421670202,
34,False,,False,,,,False,False,False,False,False,,,,
35,False,,False,,,,False,False,False,False,False,,,,
36,False,,True,68.0,,,False,False,False,True,False,3.1159613132476807,3.175842046737671,62.63865442222525,
37,True,230.0,False,,,0.17760343561297764,True,False,True,False,False,,,,26.9906872295197
38,False,,False,,,,False,False,False,False,False,,,,
39,False,,False,,,,False,False,False,False,False,,,,
40,False,,False,,,,False,False,False,False,False,,,,
