trajectory_id,collision,collision_frame,triggered,trigger_frame,ttc_at_trigger,pjoint,missed_collision,high_injury_collision,low_injury_collision,type1_error,type2_error,q_wait_at_trigger,q_trigger_at_trigger,speed_at_trigger,speed_at_collision
1,True,122.0,True,121.0,1.0,0.9999182964671504,False,True,False,False,False,-2.626145362854004,11.743844032287598,55.992429956573076,54.42853899067047
2,False,,False,,,,False,False,False,False,False,,,,
3,True,86.0,True,85.0,1.0,0.3802255764201985,False,True,False,False,False,-4.871744632720947,8.364445686340332,36.17463591829652,35.347025571372164
4,True,85.0,True,23.0,62.0,0.9981053993397834,False,True,False,False,False,5.469976902008057,5.484578609466553,59.550187686494766,50.023600001935385
5,True,178.0,True,83.0,95.0,0.9995328919359173,False,True,False,False,False,5.3481621742248535,5.352556228637695,64.66400261608686,51.998998377019625
6,True,200.0,True,72.0,128.0,0.9990995919695558,False,True,False,False,False,4.978368282318115,4.982572078704834,62.134673834496716,51.08174832357906
7,False,,False,,,,False,False,False,False,False,,,,
8,False,,False,,,,False,False,False,False,False,,,,
9,False,,False,,,,False,False,False,False,False,,,,
10,False,,False,,,,False,False,False,False,False,,,,
11,False,,False,,,,False,False,False,False,False,,,,
12,True,80.0,True,11.0,69.0,0.969804989604594,False,True,False,False,False,4.385833263397217,4.405500411987305,63.242696034371036,46.55920338974945
13,False,,False,,,,False,False,False,False,False,,,,
14,True,113.0,True,63.0,50.0,0.9999998393668329,False,True,False,False,False,6.005709171295166,6.006662845611572,74.94876818395701,62.8725385214567
15,True,186.0,False,,,0.12188106802666276,True,False,True,False,False,,,,16.071398477261
16,False,,True,52.0,,,False,False,False,True,False,4.630857944488525,4.633907318115234,71.34222898503192,
17,True,165.0,True,59.0,106.0,0.3674340681163826,False,True,False,False,False,4.190369606018066,4.226039409637451,48.40746119720977,34.83839102277099
18,True,286.0,True,83.0,203.0,0.35137641658737906,False,True,False,False,False,5.369714260101318,5.413658142089844,45.36613757854319,34.203558610995515
19,True,190.0,False,,,0.12967806807863946,True,False,True,False,False,,,,12.824259451287656
20,False,,False,,,,False,False,False,False,False,,,,
21,False,,False,,,,False,False,False,False,False,,,,
22,False,,False,,,,False,False,False,False,False,,,,
23,False,,True,74.0,,,False,False,False,True,False,4.012212753295898,4.085318088531494,74.32994862964247,
24,True,117.0,True,24.0,93.0,0.9996853239580679,False,True,False,False,False,4.271117210388184,4.520338535308838,66.92085545140439,52.56996082050412
25,False,,False,,,,False,False,False,False,False,,,,
26,True,133.0,True,132.0,1.0,0.9826493988321447,False,True,False,False,False,-2.6823766231536865,9.278752326965332,48.43648781498752,47.25516816041709
27,True,158.0,True,44.0,114.0,0.80184116919571,False,True,False,False,False,3.8936715126037598,3.9185543060302734,54.97542026048329,43.10511124362019
28,True,113.0,False,,,0.11965310761485104,True,False,True,False,False,,,,20.736051330993007
29,True,132.0,True,32.0,100.0,0.9999719828940424,False,True,False,False,False,5.621628761291504,5.627260684967041,65.81798753047845,55.87196860880444
30,True,204.0,True,68.0,136.0,0.4947586530858823,False,True,False,False,False,5.384674549102783,5.401705265045166,51.19986445875347,38.86189302413074
31,False,,True,70.0,,,False,False,False,True,False,4.093759059906006,4.097389221191406,66.51157967465797,
32,False,,False,,,,False,False,False,False,False,,,,
33,False,,True,112.0,,,False,False,False,True,False,1.5780872106552124,1.6023937463760376,65.43548599472577,
34,False,,False,,,,False,False,False,False,False,,,,
35,False,,True,77.0,,,False,False,False,True,False,-0.9375503659248352,-0.9073714017868042,70.74214743778504,
36,False,,True,69.0,,,False,False,False,True,False,2.896604537963867,2.9324851036071777,62.63865389371927,
37,True,230.0,False,,,0.17760343561297764,True,False,True,False,False,,,,26.9906872295197
38,False,,False,,,,False,False,False,False,False,,,,
39,False,,False,,,,False,False,False,False,False,,,,
40,False,,False,,,,False,False,False,False,False,,,,
41,True,115.0,True,10.0,105.0,0.7424246272921354,False,True,False,False,False,5.469141006469727,5.535711765289307,56.50724753099519,42.25232771011036
42,False,,False,,,,False,False,False,False,False,,,,
43,True,197.0,True,65.0,132.0,0.998868810405391,False,True,False,False,False,4.061049461364746,4.065554141998291,61.234266155359855,50.74973317194964
44,False,,False,,,,False,False,False,False,False,,,,
45,False,,False,,,,False,False,False,False,False,,,,
46,True,167.0,True,19.0,148.0,0.26669271715514753,False,True,False,False,False,1.756929874420166,1.7887581586837769,41.38267493132718,30.099578511248744
47,False,,False,,,,False,False,False,False,False,,,,
48,True,194.0,True,76.0,118.0,0.9766892239485729,False,True,False,False,False,5.006709575653076,5.016160488128662,55.655494754067576,46.88869737009181
49,False,,False,,,,False,False,False,False,False,,,,
50,False,,False,,,,False,False,False,False,False,,,,
51,False,,False,,,,False,False,False,False,False,,,,
52,False,,False,,,,False,False,False,False,False,,,,
53,False,,False,,,,False,False,False,False,False,,,,
54,False,,False,,,,False,False,False,False,False,,,,
55,True,305.0,False,,,0.12265441881524508,True,False,True,False,False,,,,15.669964851345808
56,False,,False,,,,False,False,False,False,False,,,,
57,True,128.0,True,90.0,38.0,0.9999851933423528,False,True,False,False,False,5.611148357391357,5.612074851989746,70.15348967294518,56.7940595064988
58,True,67.0,False,,,0.13338267353660582,True,False,True,False,False,,,,11.620494673990056
59,True,84.0,True,22.0,62.0,0.9957542028371305,False,True,False,False,False,5.898910045623779,5.947414875030518,63.754968330367745,48.95738987894967
60,True,107.0,True,32.0,75.0,0.3476202366623632,False,True,False,False,False,6.010867118835449,6.016683578491211,54.344181850103006,34.04332761912648
61,False,,False,,,,False,False,False,False,False,,,,
62,True,129.0,True,17.0,112.0,0.8685056483966046,False,True,False,False,False,0.9014326930046082,0.9526385068893433,58.574729577862335,44.16566673013337
63,False,,False,,,,False,False,False,False,False,,,,
64,True,73.0,True,19.0,54.0,0.9996407151221245,False,True,False,False,False,6.664889812469482,6.682615756988525,65.22294105681264,52.376024989065705
65,True,207.0,False,,,0.13599219184632672,True,False,True,False,False,,,,10.841943536096187
66,False,,False,,,,False,False,False,False,False,,,,
67,False,,False,,,,False,False,False,False,False,,,,
68,True,173.0,True,165.0,8.0,0.6199284918171413,False,True,False,False,False,7.718908786773682,7.932563304901123,43.50381445259646,40.61942270535822
69,True,81.0,True,24.0,57.0,0.8550671468362899,False,True,False,False,False,6.516384601593018,6.717386722564697,61.770585121441364,43.94050174453789
70,True,85.0,True,13.0,72.0,0.9589335285995764,False,True,False,False,False,5.039177417755127,5.334252834320068,64.1681907300274,46.153112679980204
71,True,110.0,True,27.0,83.0,0.9725213005077447,False,True,False,False,False,5.483196258544922,5.500207424163818,62.506427941982494,46.67992968497628
72,False,,False,,,,False,False,False,False,False,,,,
73,False,,False,,,,False,False,False,False,False,,,,
74,False,,False,,,,False,False,False,False,False,,,,
75,False,,False,,,,False,False,False,False,False,,,,
76,True,94.0,True,23.0,71.0,0.9030980233008172,False,True,False,False,False,5.286203861236572,5.2992939949035645,59.6131118723401,44.796869074225945
77,False,,False,,,,False,False,False,False,False,,,,
78,True,106.0,True,28.0,78.0,0.9967006193342378,False,True,False,False,False,5.008584499359131,5.0191779136657715,60.18500263622823,49.28078923606883
79,False,,False,,,,False,False,False,False,False,,,,
80,True,241.0,True,115.0,126.0,0.1910698003913407,False,False,True,True,False,1.590634822845459,1.608150601387024,37.79588854827136,27.54447310300781
81,True,168.0,True,68.0,100.0,0.9874457698955728,False,True,False,False,False,5.4134416580200195,5.43066930770874,62.06943504006376,47.642787550665474
82,False,,False,,,,False,False,False,False,False,,,,
83,False,,False,,,,False,False,False,False,False,,,,
84,False,,False,,,,False,False,False,False,False,,,,
85,False,,False,,,,False,False,False,False,False,,,,
86,False,,False,,,,False,False,False,False,False,,,,
87,True,167.0,True,46.0,121.0,0.9999869700898736,False,True,False,False,False,5.3805646896362305,5.400834560394287,69.58169632682794,56.97522870307782
88,False,,False,,,,False,False,False,False,False,,,,
89,True,106.0,True,9.0,97.0,0.9111632673072143,False,True,False,False,False,5.418697834014893,5.7355055809021,60.240129672583514,44.9568473156497
90,True,183.0,True,117.0,66.0,0.9999930890454968,False,True,False,False,False,6.288976669311523,6.302396774291992,71.84197784538455,57.819172452605635
91,True,128.0,True,30.0,98.0,0.9999013251007822,False,True,False,False,False,4.924715518951416,4.933215618133545,66.67692989878348,54.18688590196231
92,False,,False,,,,False,False,False,False,False,,,,
93,True,327.0,False,,,0.1262996700115584,True,False,True,False,False,,,,14.065503541208793
94,False,,False,,,,False,False,False,False,False,,,,
95,False,,False,,,,False,False,False,False,False,,,,
96,False,,False,,,,False,False,False,False,False,,,,
97,True,203.0,True,48.0,155.0,0.9995613592206599,False,True,False,False,False,4.595862865447998,4.6787567138671875,62.169726182780394,52.08754731283735
98,False,,False,,,,False,False,False,False,False,,,,
99,False,,False,,,,False,False,False,False,False,,,,
100,False,,False,,,,False,False,False,False,False,,,,
101,False,,False,,,,False,False,False,False,False,,,,
102,True,96.0,True,23.0,73.0,0.9992574939139859,False,True,False,False,False,4.08277702331543,4.119633197784424,65.10649812132786,51.35788658750433
103,False,,True,18.0,,,False,False,False,True,False,1.0824530124664307,1.274804949760437,53.56346379764634,
104,True,265.0,True,164.0,101.0,0.22656972910160378,False,True,False,False,False,3.831986904144287,3.834075450897217,40.421893262861495,28.794806938995215
105,False,,False,,,,False,False,False,False,False,,,,
106,False,,False,,,,False,False,False,False,False,,,,
107,True,317.0,False,,,0.12321844309035002,True,False,True,False,False,,,,15.39454309862796
108,True,74.0,False,,,0.361927962549743,True,True,False,False,True,,,,34.60874615049305
109,True,127.0,True,122.0,5.0,0.38102745889950396,False,True,False,False,False,7.421914100646973,7.538967609405518,37.64511287684418,35.382635869776664
110,False,,False,,,,False,False,False,False,False,,,,
111,False,,False,,,,False,False,False,False,False,,,,
112,True,152.0,True,15.0,137.0,0.32492616160621735,False,True,False,False,False,2.035316228866577,2.1754677295684814,50.026585032142926,33.08778242754395
113,False,,False,,,,False,False,False,False,False,,,,
114,False,,False,,,,False,False,False,False,False,,,,
115,True,242.0,True,120.0,122.0,0.20233743738116117,False,True,False,False,False,1.5934876203536987,1.6139658689498901,37.42307469689108,27.95208574963727
116,True,186.0,True,176.0,10.0,0.9985396609430075,False,True,False,False,False,4.420439720153809,5.0486979484558105,53.315428193401615,50.384659549103915
117,True,187.0,False,,,0.13222876755562885,True,False,True,False,False,,,,11.98154639347639
118,True,248.0,True,163.0,85.0,0.37284951386352727,False,True,False,False,False,3.4721410274505615,3.528599977493286,49.29271211491537,35.05785333100211
119,False,,False,,,,False,False,False,False,False,,,,
120,False,,True,24.0,,,False,False,False,True,False,3.951017141342163,3.951033115386963,63.68726132310117,
121,False,,False,,,,False,False,False,False,False,,,,
122,True,206.0,False,,,0.12591281819610112,True,False,True,False,False,,,,14.219705850410149
123,False,,False,,,,False,False,False,False,False,,,,
124,True,195.0,False,,,0.12822301114465262,True,False,True,False,False,,,,13.338262508464116
125,False,,False,,,,False,False,False,False,False,,,,
126,True,213.0,True,72.0,141.0,0.9613975088885919,False,True,False,False,False,3.513385772705078,3.522080421447754,58.41525870385314,46.236631913039645
127,True,67.0,False,,,0.132736495570273,True,False,True,False,False,,,,11.821286232685987
128,False,,False,,,,False,False,False,False,False,,,,
129,True,109.0,False,,,0.14861229686625899,True,False,True,False,False,,,,24.513098542197724
130,False,,False,,,,False,False,False,False,False,,,,
131,False,,False,,,,False,False,False,False,False,,,,
132,False,,False,,,,False,False,False,False,False,,,,
133,False,,False,,,,False,False,False,False,False,,,,
134,False,,False,,,,False,False,False,False,False,,,,
135,False,,False,,,,False,False,False,False,False,,,,
136,True,97.0,False,,,0.7931855033187318,True,True,False,False,True,,,,42.976368123148326
137,True,198.0,False,,,0.12163746391549546,True,False,True,False,False,,,,16.204677603010207
138,False,,False,,,,False,False,False,False,False,,,,
139,False,,False,,,,False,False,False,False,False,,,,
140,False,,True,81.0,,,False,False,False,True,False,-0.9353811144828796,-0.917157769203186,64.97427810990825,
141,False,,False,,,,False,False,False,False,False,,,,
142,False,,False,,,,False,False,False,False,False,,,,
143,True,110.0,True,104.0,6.0,0.3405021606711751,False,True,False,False,False,5.723364353179932,5.896868705749512,36.50479375317079,33.73058153833504
144,False,,False,,,,False,False,False,False,False,,,,
145,False,,False,,,,False,False,False,False,False,,,,
146,False,,False,,,,False,False,False,False,False,,,,
147,True,115.0,True,113.0,2.0,0.6538772888360567,False,True,False,False,False,8.941896438598633,9.746245384216309,41.89834004365239,41.05044115467403
148,False,,False,,,,False,False,False,False,False,,,,
149,True,209.0,False,,,0.19373697362233833,True,False,True,False,False,,,,27.638839670345767
150,False,,False,,,,False,False,False,False,False,,,,
151,False,,False,,,,False,False,False,False,False,,,,
152,True,204.0,False,,,0.13492358483527522,True,False,True,False,False,,,,11.154882327332245
153,False,,False,,,,False,False,False,False,False,,,,
154,False,,False,,,,False,False,False,False,False,,,,
155,False,,False,,,,False,False,False,False,False,,,,
156,True,75.0,True,23.0,52.0,0.8564054773982683,False,True,False,False,False,6.8577704429626465,7.06313943862915,60.92491753008185,43.962545909603655
157,False,,False,,,,False,False,False,False,False,,,,
158,False,,True,18.0,,,False,False,False,True,False,5.417622089385986,5.427268981933594,58.71912068034295,
159,False,,True,10.0,,,False,False,False,True,False,-0.11954982578754425,-0.03504475951194763,44.268918547477526,
